label,task,original,kept
cross_0.9925,put the white mug on the left plate and put the yellow and white mug on the right plate,220,73
cross_0.9925,put the yellow and white mug in the microwave and close it,281,83
cross_0.99,put both the alphabet soup and the tomato sauce in the basket,284,60
cross_0.99,turn on the stove and put the moka pot on it,268,113
cross_0.99,put both the cream cheese box and the butter in the basket,241,50
cross_0.99,pick up the book and place it in the back compartment of the caddy,166,41
cross_0.99,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,66
cross_0.99,put the black bowl in the bottom drawer of the cabinet and close it,299,98
cross_0.99,put both the alphabet soup and the cream cheese box in the basket,258,59
cross_0.99,put both moka pots on the stove,399,130
cross_0.99,put the white mug on the left plate and put the yellow and white mug on the right plate,220,65
cross_0.99,put the yellow and white mug in the microwave and close it,281,77
cross_0.985,put both the alphabet soup and the tomato sauce in the basket,284,48
cross_0.985,turn on the stove and put the moka pot on it,268,90
cross_0.985,put both the cream cheese box and the butter in the basket,241,48
cross_0.985,pick up the book and place it in the back compartment of the caddy,166,32
cross_0.985,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,59
cross_0.985,put the black bowl in the bottom drawer of the cabinet and close it,299,78
cross_0.985,put both the alphabet soup and the cream cheese box in the basket,258,51
cross_0.985,put both moka pots on the stove,399,112
cross_0.985,put the white mug on the left plate and put the yellow and white mug on the right plate,220,60
cross_0.985,put the yellow and white mug in the microwave and close it,281,69
cross_0.98,put both the alphabet soup and the tomato sauce in the basket,284,46
cross_0.98,turn on the stove and put the moka pot on it,268,87
cross_0.98,put both the cream cheese box and the butter in the basket,241,48
cross_0.98,pick up the book and place it in the back compartment of the caddy,166,33
cross_0.98,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,43
cross_0.98,put the black bowl in the bottom drawer of the cabinet and close it,299,74
cross_0.98,put both the alphabet soup and the cream cheese box in the basket,258,48
cross_0.98,put both moka pots on the stove,399,112
cross_0.98,put the white mug on the left plate and put the yellow and white mug on the right plate,220,55
cross_0.98,put the yellow and white mug in the microwave and close it,281,66
cross_0.975,put both the alphabet soup and the tomato sauce in the basket,284,45
cross_0.975,turn on the stove and put the moka pot on it,268,85
cross_0.975,put both the cream cheese box and the butter in the basket,241,46
cross_0.975,pick up the book and place it in the back compartment of the caddy,166,32
cross_0.975,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,41
cross_0.975,put the black bowl in the bottom drawer of the cabinet and close it,299,64
cross_0.975,put both the alphabet soup and the cream cheese box in the basket,258,46
cross_0.975,put both moka pots on the stove,399,101
cross_0.975,put the white mug on the left plate and put the yellow and white mug on the right plate,220,52
cross_0.975,put the yellow and white mug in the microwave and close it,281,64
cross_0.97,put both the alphabet soup and the tomato sauce in the basket,284,45
cross_0.97,turn on the stove and put the moka pot on it,268,85
cross_0.97,put both the cream cheese box and the butter in the basket,241,45
cross_0.97,pick up the book and place it in the back compartment of the caddy,166,28
cross_0.97,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,40
cross_0.97,put the black bowl in the bottom drawer of the cabinet and close it,299,52
cross_0.97,put both the alphabet soup and the cream cheese box in the basket,258,45
cross_0.97,put both moka pots on the stove,399,99
cross_0.97,put the white mug on the left plate and put the yellow and white mug on the right plate,220,49
cross_0.97,put the yellow and white mug in the microwave and close it,281,62
cross_0.95,put both the alphabet soup and the tomato sauce in the basket,284,41
cross_0.95,turn on the stove and put the moka pot on it,268,75
cross_0.95,put both the cream cheese box and the butter in the basket,241,40
cross_0.95,pick up the book and place it in the back compartment of the caddy,166,30
cross_0.95,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,40
cross_0.95,put the black bowl in the bottom drawer of the cabinet and close it,299,42
cross_0.95,put both the alphabet soup and the cream cheese box in the basket,258,47
cross_0.95,put both moka pots on the stove,399,72
cross_0.95,put the white mug on the left plate and put the yellow and white mug on the right plate,220,40
cross_0.95,put the yellow and white mug in the microwave and close it,281,56
cross_0.9,put both the alphabet soup and the tomato sauce in the basket,284,40
cross_0.9,turn on the stove and put the moka pot on it,268,52
cross_0.9,put both the cream cheese box and the butter in the basket,241,31
cross_0.9,pick up the book and place it in the back compartment of the caddy,166,24
cross_0.9,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,30
cross_0.9,put the black bowl in the bottom drawer of the cabinet and close it,299,39
cross_0.9,put both the alphabet soup and the cream cheese box in the basket,258,33
cross_0.9,put both moka pots on the stove,399,59
cross_0.9,put the white mug on the left plate and put the yellow and white mug on the right plate,220,40
cross_0.9,put the yellow and white mug in the microwave and close it,281,46
